HAMBURGUER BOVINO PERDIGÃO 672G CX;R$ 9,33 
HAMBURGUER BOVINO PIF PAF 672G CX;R$ 9,66 
HAMBURGUER BOVINO SADIA 672G CX;R$ 11,99 
HAMBURGUER DE CHESTER PERDIGÃO 672G CX;R$ 10,81 
HAMBURGUER DE FRANGO PERDIGÃO 672G CX;R$ 9,28 
HAMBURGUER DE FRANGO PIF PAF 672G CX;R$ 8,25 
HAMBURGUER DE FRANGO SADIA 672G CX;R$ 11,59 
HAMBURGUER DE PERU LIGHT E ELEGANT PERDIGÃO 672G CX;R$ 8,98 
HAMBURGUER DE PERU SADIA VITA LIGHT 672G CX;R$ 14,20 
PÃO DE QUEIJO COQUETEL MARICOTA 412G PT;R$ 3,78 
PÃO DE QUEIJO FORNO DE MINAS COQUETEL 400G PT;R$ 5,59 
PÃO DE QUEIJO FORNO DE MINAS GOURMET 300G PT;R$ 5,29 
PÃO DE QUEIJO FORNO DE MINAS LANCHE 1KG PT;R$ 13,34 
PÃO DE QUEIJO FORNO DE MINAS TRADICIONAL 400G;R$ 5,59 
PÃO DE QUEIJO MARICOTA 412G PT;R$ 3,33 
PÃO DE QUEIJO PIF PAF 400G PT;R$ 2,31 
PÃO DE QUEIJO SADIA 400G PT;R$ 4,39 
PÃO DE QUEIJO TRADICIONAL ASSADO FORNO DE MINAS 240G;R$ 5,30 
PEITO DE FRANGO CONGELADO SADIA 1KG PT;R$ 11,94 
SOBRECOXA DE FRANGO CONGELADA SADIA 1KG BD;R$ 8,62 
ERVILHA BONDUELLE 200 LT;R$ 1,81 
MILHO VERDE BONDUELLE 200 LT;R$ 1,80 
MILHO VERDE SWIFT 200G LT;R$ 1,76 
MILHO VERDE TWIST 200G LT;R$ 3,73 
CREME DE LEITE ITAMBÉ 300G LT;R$ 2,68 
CREME DE LEITE NESTLE 200G TP;R$ 2,06 
CREME DE LEITE NESTLÉ 300G LT;R$ 3,51 
LEITE CONDENSADO CEMIL 395G TP;R$ 2,46 
LEITE CONDENSADO ITALAC 395G TP;R$ 2,65 
LEITE CONDENSADO ITAMBÉ 395G LT;R$ 2,79 
LEITE CONDENSADO MOÇA 395G LT;R$ 3,31 
MOÇA FIESTA BRIGADEIROS 385G LT;R$ 7,80 
CATCHUP TRADICIONAL ARISCO 390G FR;R$ 4,22 
CATCHUP TRADICIONAL ETTI 400G FR;R$ 3,21 
